#waveobs	flux	err
396.3399999999988	0.999930265480039	0.0
396.3499999999988	0.9999275236827528	0.0
396.35999999999876	0.9999245716771789	0.0
396.36999999999875	0.9999213355773244	0.0
396.37999999999874	0.9999176061075329	0.0
396.38999999999874	0.9999127708415185	0.0
396.3999999999987	0.9999052618183182	0.0
396.4099999999987	0.9998918437452149	0.0
396.4199999999987	0.9998675119996652	0.0
396.4299999999987	0.9998273082981542	0.0
396.4399999999987	0.9997704745195256	0.0
396.4499999999987	0.9997046669110309	0.0
396.4599999999987	0.999645953993372	0.0
396.46999999999866	0.999612402550371	0.0
396.47999999999865	0.999614461464326	0.0
396.48999999999864	0.9996488823837734	0.0
396.49999999999864	0.9997007463176338	0.0
396.5099999999986	0.9997519936044763	0.0
396.5199999999986	0.999790114276848	0.0
396.5299999999986	0.9998114872402969	0.0
